parent_uid	child_uid	child_asset_type
L0C04FJPO	L0C04FVHY	.gif.ldcc
L0C04FJPO	L0C04FVHW	.gif.ldcc
L0C04FMC9	L0C04FVI4	.gif.ldcc
L0C04FMC9	L0C04FVI5	.jpg.ldcc
L0C04FMC9	L0C04FYAH	.ltf.xml
L0C04FMC9	L0C04GLB2	.gif.ldcc
L0C04FMC9	L0C04GLBS	.gif.ldcc
L0C04FMC9	L0C04GLBM	.gif.ldcc
L0C04FMC9	L0C04GLB5	.gif.ldcc
L0C04FMC9	L0C04GLBC	.gif.ldcc
L0C04FMC9	L0C04GLBR	.gif.ldcc
L0C04FMC9	L0C04GLB4	.gif.ldcc
L0C04FMC9	L0C04GLB7	.gif.ldcc
L0C04FMDL	L0C04GLB8	.gif.ldcc
L0C04FMDL	L0C04GLAV	.gif.ldcc
L0C04FMEF	L0C04GLAY	.gif.ldcc
L0C04FMEF	L0C04GLB0	.gif.ldcc
L0C04FMEF	L0C04GLBH	.gif.ldcc
L0C04FMEF	L0C04GLBA	.gif.ldcc
L0C04FMEF	L0C04GLB9	.gif.ldcc
L0C04FMEF	L0C04GLBF	.gif.ldcc
L0C04FMEF	L0C04GLBI	.gif.ldcc
L0C04FMEF	L0C04GLAX	.gif.ldcc
L0C04FMEF	L0C04GLBL	.jpg.ldcc
L0C04FMEF	L0C04GLAZ	.jpg.ldcc
L0C04FMEF	L0C04GLBD	.jpg.ldcc
L0C04FMEF	L0C04GLBK	.jpg.ldcc
L0C04FMEF	L0C04GLBB	.jpg.ldcc
L0C04FMEF	L0C04GLBT	.jpg.ldcc
L0C04FMEF	L0C04GLBE	.jpg.ldcc
L0C04FMEF	L0C04GLAW	.jpg.ldcc
L0C04FMEF	L0C04GLBP	.jpg.ldcc
L0C04FMEF	L0C04GLBN	.jpg.ldcc
L0C04FMEF	L0C04GLB6	.jpg.ldcc
L0C04FMEF	L0C04GLBO	.jpg.ldcc
L0C04FMEF	L0C04GLBQ	.jpg.ldcc
L0C04FMEF	L0C04GLPF	.ltf.xml
L0C04FMEF	L0C04GLAQ	.mp4.ldcc
L0C04FMEF	L0C04GLAU	.png.ldcc
L0C04FMEF	L0C04GLBJ	.png.ldcc
L0C04FMEF	L0C04GLB1	.png.ldcc
L0C04FMEF	L0C04GLBG	.png.ldcc
L0C04FMEF	L0C04GIXZ	.gif.ldcc
